代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
600143,金发科技,17.00,-2.02%,-0.35,33.85万,5.75亿,2.65%,17.35,16.89,17.35,17.35,0.75,1.32%,8.65,3.11
000040,东旭蓝天,3.40,-2.02%,-0.07,84.28万,2.92亿,4.61%,3.56,3.40,3.45,3.47,1.29,7.95%,-19.03,0.38
603081,大丰实业,10.64,-2.03%,-0.22,1.74万,1858.06万,2.76%,10.89,10.59,10.75,10.86,0.66,0.43%,15.27,2.08
688357,建龙微纳,63.80,-2.03%,-1.32,3396,2181.32万,2.10%,64.90,63.53,64.90,65.12,0.62,1.29%,29.50,3.94
603197,保隆科技,28.02,-2.03%,-0.58,1.14万,3225.67万,1.78%,28.53,28.02,28.53,28.60,0.47,0.70%,24.72,4.10
300185,通裕重工,3.86,-2.03%,-0.08,96.36万,3.75亿,2.03%,3.94,3.86,3.91,3.94,0.56,3.39%,28.93,2.29
000506,中润资源,2.41,-2.03%,-0.05,8.37万,2036.15万,3.25%,2.48,2.40,2.48,2.46,0.79,0.90%,-22.85,2.33
601966,玲珑轮胎,31.75,-2.04%,-0.66,11.66万,3.73亿,4.32%,32.80,31.40,32.66,32.41,1.19,0.86%,20.46,2.72
603298,杭叉集团,22.09,-2.04%,-0.46,9.83万,2.14亿,6.96%,22.78,21.21,22.78,22.55,2.00,1.13%,22.91,4.07
603225,新凤鸣,13.39,-2.05%,-0.28,8.68万,1.18亿,4.54%,13.92,13.30,13.75,13.67,0.93,0.64%,53.99,1.66
600389,江山股份,20.47,-2.06%,-0.43,1.62万,3321.18万,3.11%,20.87,20.22,20.80,20.90,0.55,0.54%,17.48,3.26
002852,道道全,16.62,-2.06%,-0.35,3.13万,5241.04万,3.36%,17.15,16.58,16.98,16.97,0.63,1.52%,39.94,2.43
603158,腾龙股份,19.93,-2.06%,-0.42,1.34万,2691.20万,3.59%,20.55,19.82,20.55,20.35,0.44,0.62%,32.44,3.81
603278,大业股份,8.05,-2.07%,-0.17,2.62万,2116.64万,2.43%,8.21,8.01,8.21,8.22,0.51,0.90%,22.54,1.42
002812,恩捷股份,136.37,-2.07%,-2.88,7.04万,9.51亿,5.60%,139.80,132.00,138.65,139.25,1.20,1.33%,139.70,12.16
600293,三峡新材,2.84,-2.07%,-0.06,79.21万,2.29亿,10.00%,3.05,2.76,2.90,2.90,1.70,6.83%,-4.18,0.99
300626,华瑞股份,8.99,-2.07%,-0.19,4.66万,4237.02万,3.49%,9.27,8.95,9.13,9.18,0.76,3.85%,98.85,2.93
002330,得利斯,6.62,-2.07%,-0.14,4.47万,2968.41万,2.22%,6.73,6.58,6.73,6.76,0.69,0.89%,93.11,2.46
600581,八一钢铁,3.78,-2.07%,-0.08,72.92万,2.78亿,5.44%,3.95,3.74,3.86,3.86,1.10,4.76%,14.36,1.30
300893,松原股份,37.80,-2.07%,-0.80,2.43万,9446.82万,5.41%,39.77,37.68,38.70,38.60,0.85,10.25%,46.11,5.54
300676,华大基因,127.10,-2.07%,-2.69,4.31万,5.49亿,2.57%,130.00,126.66,130.00,129.79,0.76,1.73%,14.10,7.53
603056,德邦股份,12.23,-2.08%,-0.26,6.32万,7790.55万,4.16%,12.69,12.17,12.52,12.49,0.94,2.90%,29.70,2.71
601369,陕鼓动力,7.05,-2.08%,-0.15,7.26万,5165.91万,3.33%,7.27,7.03,7.23,7.20,0.79,0.44%,15.76,1.72
600297,广汇汽车,2.82,-2.08%,-0.06,60.60万,1.71亿,2.08%,2.86,2.80,2.86,2.88,0.78,0.75%,13.08,0.58
600152,维科技术,7.02,-2.09%,-0.15,8.04万,5670.58万,3.63%,7.22,6.96,7.09,7.17,0.63,2.65%,52.25,2.10
002767,先锋电子,10.76,-2.09%,-0.23,1.31万,1433.49万,4.09%,11.19,10.74,10.99,10.99,1.14,1.05%,75.84,2.16
002291,星期六,15.90,-2.09%,-0.34,9.20万,1.46亿,3.94%,16.24,15.60,16.23,16.24,0.77,1.72%,-77.69,3.65
300388,国祯环保,8.88,-2.09%,-0.19,4.77万,4295.63万,3.20%,9.15,8.86,9.07,9.07,0.81,0.69%,17.14,1.64
600761,安徽合力,13.54,-2.10%,-0.29,6.59万,9007.74万,3.54%,13.99,13.50,13.86,13.83,0.96,0.89%,12.77,1.89
002057,中钢天源,6.99,-2.10%,-0.15,9.51万,6748.85万,3.22%,7.21,6.98,7.12,7.14,1.03,1.65%,24.94,2.66
601717,郑煤机,11.18,-2.10%,-0.24,52.86万,6.05亿,7.71%,11.94,11.06,11.59,11.42,0.99,3.55%,11.97,1.49
603809,豪能股份,20.89,-2.11%,-0.45,3.80万,7849.36万,5.62%,21.40,20.20,21.34,21.34,1.23,1.82%,24.51,2.68
300592,华凯创意,15.78,-2.11%,-0.34,1.55万,2484.79万,4.53%,16.48,15.75,16.15,16.12,0.96,1.63%,-73.52,4.01
